Id	Score	Text
10	5	I REALLY ENJOY THESE BARS AS A MEAL REPLACEMENT<br />OR FOR ENERGY,THEY TRAVEL WELL AND I LOVE THE TASTE!!<br />THE PRICE IS GOOD TOO!!
11	5	Cooks much faster than other whole wheat or whole grain. Has a very good rich flavor. Our kids love it too.
12	5	I have so far ordered three of this syrup .tastes yummy. delivery is very prompt and its the cheapest i could find anywhere. will recommend to go for it.
13	4	For those who like a bold, strong flavored coffee. This coffe is a must try. For those who are new to K Cups try a variety pack first tp help you better decide your favorite coffee blends.
14	4	Nabisco's new snack cracker, Newtons Fruit Thins, is a good tasting snack that doesn't contain some of the worst ingredients found in many snacks.  I tried the Blueberry Brown Sugar kind, and enjoyed them, as did my wife and daughter.  They tasted good with a very blueberry taste.  While you shouldn't classify these as a health food, they are not as bad as many snacks.  I like that they are made with real fruit, whole grains, and no high fructose corn syrup.<br /><br />Three of the thin cookies add up to 140 calories, and it would be easy to eat many more than three, so a person dieting will have to control portion size.  Out of those 140 calories, 45 come from fat, and one of the 5 grams is from saturated fat.  However, no trans fats, which is good.  90 mg of sodium, so not too high.  The ingredient list has things you know, not a lot of man made things, so I like that.  It is a more natural snack.  Ingredients are: Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Whole Grain Wheat Flour, Soybean and/or Palm Oil, Sugar, Rolled Oats, Dried Blueberries, Brown Sugar, Flax Seeds, Fructose, Salt, Baking Soda, Soy Lecithin, Natural Flavor.<br /><br />For a thin, fruit flavored, cookie snack, Nabisco's new Newtons Fruit Thins are a good tasting crispy cookie.  We enjoy them, and I like that they are not as bad for you as many other snacks.  If you control how many you eat, these are great for those with a sweet tooth.
15	5	Don't pass this up on baja bobs website.  It is amazing!!! I've tried several items by baja bob and so far they have all been good.
16	5	I only bought a dram of the Champagne flavored oil to try it. I used the dram of flavoring in my nieces wedding cake and everybody raved about it.  A couple of people really tried to guess what the flavor was, but they couldn't quite put their finger on it.  My sister and nephew both said it tasted like banana and that it was great.  But I tell you, it did not taste like banana.  It was awesome.  I can't wait to use it again.<a href= http://www.amazon.com/gp/product/B001EPPD84 >LorAnn Artificial Flavoring Oils, Champagne Flavoring Oil, 1-Ounce Bottles (Pack of 4)</a>
17	5	My wife & mom really like these.  They are really good & replace the breakfast rush meal
18	4	I have a lab puppy, and for any of you who have read my other reviews, I LOVE idestructable toys, as my puppy is a very strong chewer. After demolishing several smaller bones and puppy kongs, I decided to buy this bone, hoping it really would be good for a strong chewer. It has proved to be everything that Nylabone says it would be. He likes it, and has barely  made a dent  in it. There are plenty more play hours to be spent with this toy, and we've had it for several months.<br /><br />Recommended for labs, retreivers, and other big dogs who love to chew!
19	5	I made these bars for my four year old with many allergies using the applesauce recipe option. I didn't frost or use powder sugar on them them because we don't have a recipe for frosting that meets his hypoallergneic diet and he can't have powder sugar, but he enjoyed them plain. Since his allergies are a new discovery, he is used to eating  normal  food.  These bars weren't a challenge to get him to eat because they tasted like the type of baked goods he used to eat.  They were very moist and light.  We also enjoyed the brownies from this company!!  Can't wait to try their other products!
20	5	If you like a bold flavored cup of coffee you'll love this coffee.  It's bold but not bitter with a smooth, almost buttery finish.  No harsh after taste like some dark roast.
21	5	I love my Keurig coffee maker and the convenience of these K-Cups!  Since convenience can be costly, it's great to be able to buy the K-Cups in bulk.  The savings are substantial.  The coffee itself is always delicious!  My shipments always arrive quickly and in good condition.  Being a single mom, a full time college student, and a full time Realtor, I don't have much time for anything else.  Brewing my coffee in 50 seconds has made my tight schedule much easier to juggle.  I highly recommend buying these K-Cups from Amazon!
22	5	We love heritage flakes, not too sweet and not too bland and oatey.  The texture is great too, not rough and thin like some raisin brans.  It holds up well if you let them soak in the milk because you have to chase down a child.  They are the perfect source for whole grains.<br /><br />We love buying them from Amazon too because we save so much.  We live in Chicago.  The only place you can find them is at Whole Foods, already a huge markup.  Add to that Chicago city taxes and you end up paying 1/3 more.  Plus WF sometimes doesn't even have them or has them only in the smaller size.  Amazon doesn't run out.  Its subscription program automatically sends us the bulk size every few months.  Great deal!  Great program!
23	4	BBQ Pop Chips are a delicious tasting healthier chip than many on the market.  They are light and full of flavor.  The 3 oz bags are a great size to have. I would recommend them to anyone.
24	5	We were suddenly faced with need for eggless noodles.  Alternatives were tasteless, slippery  yolk-frees .  Then I stumbled onto these from Manischewitz and they have flavor worth my delicious home-made pasta sauces.  Now we don't miss the fresh pastas any more.  Who said healthy had to be boring.
25	5	My cat is almost 8 years old. Being the runt, she has always been a small cat, weighing about 7 or 8 lbs on average. I notice she just wasnt her happy little self and to my horror was down to just 5 1/2 lbs. Like everyone else here, the prognosis was kidney failure. There was absolutely nothing I could do to get her to eat the prescription canned food. Mixing with the old to wean her to the new didnt work. Adding water, making it warm, trying every kind available from my vet, I was at my wits end. She was getting sicker by the day eating just the dry food. Then after much reading of blogs, kidney failure webpages, etc, everyone raved about the Hi-tor food. I was afraid to purchase 24 cans of something she wouldnt end up eating, and my vet did not carry it nor did the yever hear of it. I figured my cats life was worth $25.00 and gave it a try. WOW, is all I can say! She IMMEDIATELY ran to the bowl, gobbled it up and asked for more! I have now began to feed her the canned food as often as she asks for it. She looks better, has had less vomiting, and has gone back to playing with toys and pestering her sister kitty, so I KNOW she feels better. If this only helps prolong her life for a little while, I know it was well worth the money to special order it. I plan on taking a few cans to my vet so they can consider carrying it in the future. Thank you Hi-Tor! Now please make a dry kidney food!
26	5	These are great, but my dog likes to augment them with other types of bones
27	5	This is a wonderful oil.  I am not able to get Sunflower oil anywhere locally unless I want to pay a huge price for a small quantity.  Even with the cost of shipping, I would purchase this again.
28	5	I have never really cared much for salads, but went on a diet that required me to eat a lot of spinach. I mixed the spinach with greens, onions, and yellow peppers and added this vinegar with a little olive oil and it is so good that I feel like I am having a dessert! I have only used it as a salad dressing, but am sure it would be great used in various ways. (I saw someone say it was good to dip strawberries)
29	1	I've been eating these as part of a low carb diet, and thinking they are too good to be true because they are so good. Estimating the amount, I plugged the ingredients into an online recipe nutrition calculator and I could not come close to the amount of net carbs or calories that are on the label. That's when I decided to do a web search on the company and I found that a news channel in NY had Eat Rite pizzas lab tested, and found that the nutritional info was way off.<br /><br />No wonder these pizzas were so good... it's because they are just  real  pizzas. Only really expensive. Don't buy.
30	5	I wasn't expecting much of this product given that I generally don't like Green Mountain Coffee, but to my surprise this was a very good tasting dark roast. It has a strong flavor and nice aroma but not too bitter or watered down. It also had a good pricing for the 18 pack compared to other products. I think I'm going to purchase this again.<br /><br />*Note: I drink my coffee black so my tasting of the flavor is exact.
31	5	Can't find these anywhere except for the movie theater. Walmart had like 7 flavors except this one.  6 pack is totally worth it.  Great value.
32	4	I made this in a regular coffee maker made for pods.<br />I thought it was find - it reminded me most of a breakfast blend.  It was very smooth with what seemed like a normal dose of caffeine.  It's not at all bitter - unfortunately, around here, we LIKE bitter in our beer and coffee, so I probably would not buy it again.  If, however, you like something like Maxwell House Breakfast Blend with a mild flavor, but a bit more caffeine, you'll probably really like it.<br />I love that it is fair trade.  I had to use scissors to open the packets.
33	5	So glad they still have these in Germany!!! Wish they would bring them back to the US. Bought it as a gift for my best friend. She loved them!!!
34	4	Finally a product in a price range that I can say WoW about!If your looking for a product that delivers positive results that isnt 80 to 100$, I swear this is it. I have combo skin and some light scars around mouth/chin area from acne. The results Ive had from using this is diminished scars (not erased scars), clearer skin. It keeps there appearance down. However this product is mild if your just starting masks or have perfect skin already...recommended.
35	1	I was disappointed in the packaging as the Oats were in a simple plastic bag that was overfilled and a plain cardboard box that barely held together.  When I opened the package, the oats spilled all over because the plastic bag ripped from the excessive bulge .  I had to do a bunch of unnecessary cleanup that could have easily been avoided with proper packaging.  Will not order any more oats unless vendor sends me a complementary package.
36	5	Oh my gosh-if you like dark pretzels you have to try these!! Delicious.  You get ALOT for the money and they are very fresh!! I'm hooked. Try them you won't be disappointed.
37	5	Really nice cookies.  They go with either coffee or tea, or just as a snack.
38	4	I have yet to find a Bob's Red Mill product i don't like but this cereal is one of my favorites.  the directions are easy, and the only suggestion i'd make to change it is to add some fruit for flavor and some chopped walnuts for texture.  i prefer to add dried cranberries myself, but my wife likes it with dried apricots.<br /><br />it cooks faster than oatmeal and really sticks to your ribs while warming you up for the day.
39	5	This is my current favorite tea.  I do add some stevia to it to sweeten it and bring out the flavor.  I signed up for auto shipment...that's how much i love this tea.  The healthiness of green tea, with the slight taste of mango...who wouldn't love that?
40	3	These cookies were good for a packaged cookie. Of course, with three kids, cookies of any sort are not long in the house. Here's the breakdown:<br /><br />1. Crumbled cookies: I didn't have the problems with crumbled cookies that other reviewers had. They held together nicely. However, getting baked goods shipped to you always has a risk, especially during times of temperature extremes like summer. So, that might be a problem in some cases.<br /><br />2. Taste: these cookies are no comparison to a homemade cookie, but what packaged cookie is? The taste is about the same as a regular Chips Ahoy Cookie if you added chocolate frosting to it. They do taste like a commercially processed food. Most likely because they are.<br /><br />The chocolate filling adds an additional flavor to the normal Chips Ahoy taste. It's good, but not super exciting.<br /><br />3. Gooey-ness: The picture and label hints that you're looking at a fudgy-gooey center. The package I had was good, but the chocolate was more a disc of chocolate. It was not hard, but it wasn't the runny-chewy that it looks like.<br /><br />4. Overall: these cookies weren't bad, but they also aren't something extremely exciting.<br /><br />These are ok if you want to keep a package of cookies laying around.
41	5	Tully's house blend coffee is a bold coffee that isn't bitter but delivers good coffee flavor.  I use the K-cups for that perfect cup of coffee every time.  I was looking for a replacement for the Kona blend coffee since it has become very difficult to find and the prices have sky rocketed to ridiculousness when you do find it.  This house blend has been a good replacement.
42	5	I felt deeply motivated to say that I have to disagree with the reviewer who said these smell like old ketchup. I just didn't get that at all. To me, they smell like what they are. Disclaimer: I can't say I even know what old ketchup smells like. I'm kidding, but I do disagree and if I had read that review before trying, I may not have tried them.<br /><br />Anywho, found these at a local grocery store first. Took a chance on them and we were very surprised about how good they are, so I came here to buy them in bulk (quite a bit cheaper). They taste fresh and they don't leave me with a heavy feeling like the  andy capps  (or however you spell that) hot fries do. Super good snack and quite a bit heather than the others for sure. Every one we've shared them with ends up eating a bunch.
43	5	Honestamente este aceite de coco, no tiene que envidiarle nada al  Barlean's Organic Oil , ambos tienen el saber muy similar la unica diferencia que encontre fue el precio.
44	4	I enjoyed this hot sauce.  It does have a kick to it (not a burn your mouth/throat kick - more like a low&slow burn).  I found the flavor to be great & will use this liberally to make hot wings (my 14 year old son & his friends loved it also).  If you really want an extreme burn with good flavor try the after burner sauce from a company called Son-in-law out of Michigan.
45	5	My one year old loves this product. She eats one every day and never gives me a problem. And I trust the ingredients which reassures me that she's eating something thats good for her.
46	4	I really love this tea, it's my favorite. I like the mildly sweet flavor, and it is a medium strength tea, not too weak and not too strong. I haven't tried the caffeinated version yet, but I hope to in the future. Unfortunately I have to rate this 4 stars as one of the boxes I received was filled with English Breakfast Tea instead of Earl Grey. This was probably a packing issue with the manufacturer as the box was correct (Twinings Earl Grey). I received a refund, but it was still inconvenient and I hope it doesn't happen again.
47	5	This coffee is absolutely fantastic. The varieties are superb and the aroma is intoxicating. The price can't be beat for such high quality roasts as these. Who made this stuff? Ohhh, Brooklyn Bean Roastery, yeah, love this stuff, Fuggedaboudit.
48	5	This is the best hot chocolate ever!  Low calories, fat & carbs.  Mix it with fat free cream and it is truly out of this world!
49	5	The chocolate is intense and wonderful.  The hint of orange flavor and the peels mixed in the chocolate adds to the enjoyment of eating this confection.  One thing, though, even though the package says milk chocolate, this is actually a dark chocolate bar.
50	5	I popped my first batch and I have to say this does taste pretty darn close to what you'd find at a movie theatre.  Everything seems to be measured well enough that you don't see any grease stains when using a popcorn bag but you still get that distinct taste and flavor.  The popcorn tasted fresh but there are no expiration dates or lot numbers anywhere on the packaging so I'm not sure how they can trace anything if there's a bad batch. They don't have any ISO 9001 markings so I'm assuming there is no quality oversight of these.<br /><br />I have zero real complaints about the popcorn or the taste, but I don't think they should add some sort of traceability.
51	1	I have  a shih tzu Chihuahua mix and he will not eat these. I was surprised since they got great reviews..maybe my moms cat will eat them.
52	5	These cookies are fantastic - I don't know if it is the center or the crispy cookie outside but together, perfection.<br /><br />I happened on them while traveling to Australia - now when I get a chance to get to Oz, one of my first stops is at the grocery store.<br /><br />Also try Cherry Ripe Candy bars and Ice cream bars - as close to heaven as most of us will get.
53	4	I tried this food for free through BzzAgent. My dog is about a year old but VERY active, so have him on puppy food still because he's smallish and has trouble keeping weight on. He is allergic to something, I'm not sure if it's environmental or food, but he didn't have a reaction to this food. This is corn-free so I'm wondering if that's what he's allergic to.<br />He did very well on it, and had nice solid stools and wasn't excessively flaky or itchy. He tends to bolt his food so the very small pieces weren't that great. He wouldn't chew it and then ended up vomiting afterward; I had to give him small amounts at a time. I'd rather they had kibble size options, but I'm being picky now.<br />I'm not thrilled that the second ingredient is wheat, but at least it's not corn. Sagan seemed to do well on it. If it was less expensive than the food I have him on now (that he also does very well on), I'd have no problem using or recommending this food.
54	3	It is beautiful, but there were a few cookies that where stale.  They immediately sent a care package as compensation.  Their service is good and they care about their customers.
55	4	After trying many of the other hot cocoa k-cup options, I find that the Grove Square product tastes the best.  For my personal taste, I find that brewing on the medium cup size setting creates the best taste.  Just add minature marshmellows and it is a great treat.  However, this is not hot chocolate, which may be a turn off for some tasters.
56	5	Love these plums and have two or three each morning. I wish they were available in one of my local food outlets but ????<br /><br />Other companies used to offer them (Delmonte?)but no longer do so.<br /><br />Not sure how oregon decides what products will be offered in various stores. e.g. My Stop & Shop carries other Oregon products such as Cheerries for pie filling etc. but not these Purple plums?
57	5	This tea is one of my favorites.  It has a clean, subtle, delicious flavor very similar to the Stash White Decaf Lemon, but unlike the lemon it's lemongrass free, which can be important for people with grass allergies.<br /><br />Three warnings for this tea:<br /><br />1.  If you like strong tea, you're in the wrong place.  This is a subtle white.  I find it delicious, but many of my friends want a stronger flavor.  I think this is comparable to flavored water in the intensity of the flavor, though it would be unfair to compare this to the fake chemical flavor of a propel water bottle!<br /><br />2.  It's a white tea.  It steeps FAST.  If you'd like more flavor, choose another tea or put in 2-3 teabags.  This tea will not always forgive a long steep and can become very bitter if left too long.<br /><br />3.  It's not a very good iced tea.  It tastes like it would be lovely, but the flavor oil leaves a film on the top that I find unappetizing.<br /><br />Enjoy your tea!
58	2	I bought this to try out when it went on sale for $15/box here at Amazon.  The flavor is decent, but it really is just instant coffee with a few grounds packaged into a K cup.  For way less money and packaging, you can get instant coffee and just use the Keurig to heat the water.
59	5	Amazon had a special promotional sale price during the month of March, 2011, and I took advantage of this sale numerous times during the month as Eight O'Clock Colombian Coffee is my favorite, plus have you priced coffee at the grocery stores recently?  Besides the sale price, I did not have to pay sales tax nor shipping charges.
60	5	I have used Premium Edge Lamb Formula dry dog food for years.  While many dog food manufacturers use real lamb - and not lamb meal - in their adult formulas, this is the ONLY manufacturer that uses real lamb in its Puppy Formula as well.  Hounds have sensitive stomaches and lamb digests best without upsetting their stomaches.  It also promotes a shiny, healthy coat while minimizing shedding and flakey skin conditions that are experienced by some breeds.  The food nuggets are small in size and appropriate for all breeds and sizes of dogs; the nutritional values are the highest or on level with that of many so-called  premium  brands - and better than that of some.  I have fed Premium Edge Lamb - both adult and puppy - to my Salukis for 12 years and heartily recommend it.  Read the order of ingredients in your pet's food; they are listed in the order of most to least included in the product.   Lamb meal  contains ground bone and other waste as well as the meat itself; this manufacturer uses only the Meat.
61	5	My dog loves this....and so do we!  Miki has been having problems for over a year with the skin just outside of her tear ducts getting red, then raw...poor thing.  Each time I'd take her to the vet, (2 different vets just to see), they  both prescribed the same eye drop medicine ($27.00) for a tiny bottle.  But, it never cleared up entirely, and the minute I'd stop with the drops, after weeks of applying 2-3 x's a day, it would come right back. Looking at her made me feel terrible.<br /><br />Then, I started thinking about maybe it was something she is eating, even though I've been feeding her Ceasar for a couple years and thought it to be a  good  dog food.  But after researching what was in Wellness dog food compared to the store bought stuff, I couldn't believe I was feeding her that stuff!<br />So, after doing the math, a 3oz tub of Ceasar vs the 12 1/2 oz can of Wellness, I could get 3 bigger servings (4.1 oz each) out of a can of Wellness...for the same, or better price, and it was way healthier for her!<br /><br />Our Miki looks so pretty again (Papillon) and seems she has a whole lot more energy too! I figure it must be the change in diet that helped clear up her eyes but wasn't sure because we moved at the same time (same town) and I thought it might have been some plants/allergies she was getting into in the back yard.  But....I let myself run out of Wellness (not on purpose!) and had to feed her something else, so I went with the Ceasar and ordered her some more Wellness.  By the time I placed and received my order, (not much more than a week), the skin below her eyes had already broken out again! Ummmm...CONFIRMATION! And guess what?  Within 2 weeks after our Wellness shipment arrived, and she was back eating her favorite dog food, Miki's tear duct area was dried up, rawness gone, and hair was growing back!<br /><br />I don't even remember how I stumbled across this dog food, and who would have ever thought I'd be ordering dog food from Amazon, but with the great price, and free super saver shipping, like I said earlier, it's the same price as that store bought  stuff , but she gets more than an ounce more per serving and look at the ingredients...it's real chicken, and sweet potatoes! (A lot of other good for her stuff!)<br /><br />I'm sold on Wellness (so is Miki~she loves it!) I had just come back online to re-order some more Wellness Chicken and Sweet Potato food, when I thought that I should take a moment to RAVE about this great stuff.<br />So I did!
62	5	My small dogs LOVE this product.  It's a bargain at these prices, which you already know if you've purchased it previously at your local store.  There's about 15-20 pieces in this package, an equivalent amount that would cost 4 times as much if purchased at a pet store. The few moments of stink this product has disappears and isn't much of a bother.  It takes hours for the little chewers to make their way through one pizzle stick, though they work at it diligently and contentedly.  Wonderful find!
63	1	Sweet, but almost no rhubard flavor.  Bargain supermarket brands have more flavor.  I will not be buying this product again.  I will not be buying this product again.
64	3	I bought this flavor along with two others and was surprised at how different the texture was compared to Chick Chick and Super Salmon. It is so thick that my daughter grabs it out of her mouth after putting a bite in, which usually leads to a big mess. I now have to modify the texture by adding water to it, which does not make it a convenient food item when on the go. Since the pouches don't reseal this is even harder when traveling.<br /><br />Overall, the flavor seems good, just too thick. I still love the pouch design for the most part, since I can sometimes break the glass jars of other brands. I will just need to remember to pack some sandwich baggies in case it not working out when trying to eat it on the go.
65	5	These are the best chips ever!  The BBQ ones are on the spicy side, which I really like.  I used to think baked chips were good until I tried Pop Chips.  There is no comparison!  The baked chips are thin, flat and tasteless next to these.  If you want a chip you can really sink your teeth into you will not be disappointed!
66	5	I drank this tea after my first trimester of pregnancy for its numerous health benefits.  It is pure red raspberry leaves and great organic package.  They are  not individually packaged, they come in a foil lined paper lije package and there are no strings or tags, just steep add agave or honey to sweeten...it is a little bitter but not bad and drink!
67	5	After one of my cats experienced some tummy problems, I decided to look for some grain free options.  My cats love this stuff.  I've tried several flavors, and they like them all.  They are excited again at meal time.  The best benefit is that the  tummy problems  are so much better.
68	5	We love Crema e Gusto for breakfast. It has the smooth and intense flavor of the coffee in Europe; no bitter or over roasted. There is nothing better.
69	5	Not only is this really good saffron at a price far lower than I'm accustomed to paying, but it's also packaged well, in cute little acrylic boxes that make it easy to share with others (as well as keeping it fresh until I'm ready to use it).  I'm looking forward to buying some to slip into Christmas stockings this year - my family members love to give and get fancy foods and ingredients for cooking, and I know they'll be thrilled with this.
70	5	We love our Keurig coffeemaker and have tried many coffees.  Recently discovered Wolfgang Puck's new line of coffees and are pleased with all of his we have tried.  This one is smooth with a great flavor, no bite.  We would purchase this again.
71	4	We drink a lot of Crystal Light as a break from soft drinks.  We thought we would try their new Mocktail flavors and give them a chance.  This Margarita flavor is not bad.  It actually tastes like a margarita with a couple of good exceptions, no sugar, low sodium and it has only 5 calories for 8 ounces.<br /><br />Each canister has 5 plastic pouches and each pouch makes 2 quarts.  Mix it up and serve it cold with ice or refrigerate for the best flavor.<br /><br />Crystal Light is a good low calorie drink and the broad flavor mix helps keep them tasting good.  We found this margarita taste to be better than the Appletini flavor.  I still like some of the original Crystal light flavors more but this is good for a change.  It tastes as good as some other more expensive margarita mixes.  I looked at a bottle of one of the famous brands that has 100 calories for 8 ounces and 25 sugars.  That is a huge difference!<br /><br />Try it you will like it!
72	2	Been a Spam fan for over 40 yrs. & thought the Bacon Flavored version would be something different. Sorry to say that it just didn't have any, or very little, bacon flavor. Tasted like a can of regular Spam. Called Hormel Customer Service to voice my concerns and got a curt response of  we can't satisfy every customer's tastes , end of conversation. Thought they'd be a bit more receptive to a long time customer's comments but they weren't. If you like regular Spam you'll like this, just don't expect much of a Bacon flavor.
73	5	Quaker Soft Baked Oatmeal Cookies taste just like the cookies my grandma used to bake. Great to take as a quick breakfast since it is made with whole grain Quaker Oats.
74	5	My husband I recently ate at an outside cafe in Geneva, IL.  It was late afternoon so we just wanted something light to eat with a glass of wine.  We ordered a cheese plate that include a choice of three cheese.  One of the choices on the menu was a blue cheese listed as  Pointed Reyes Original Farmstead Blue .  It was exceptionally good completly outshining the sharp cheedar and the mild Wisconsin Gouda. So much so that I asked to take a copy of the menu home so I could order the cheese on the internet.  Not as easy as I thought, but I did find it on Amazon and ordered it, after I corrected the spelling to  Point  Reyes rather than  Pointed  Reyes Blue Cheese.<br />  It was delievered in a couple of days intact and as delicious as I remembered. This really is a standout blue cheese especially if you like a tangy sharp blue cheese.  It is creamy but not overpowering and does not have the musky taste that some blue cheeses do. The only downside was the cost of shipping.  The cheese was $18.00 for a pound but the shipping was unexpectely high at $26.00.  The combined cost makes for a very expensive cheese.  I'm sure I will enjoying eating this blue cheese and make certain that I perserve every valuble bite of it until it is gone.
75	5	Most stores have discountinued this hot sauce, it's very hard to find.  I'm cajun from Louisiana and this is the best hot sauce I ever tasted. Hope it stays on the market, I won't buy any other.
76	5	It shouldn't be over $4 a pack for these fish, at my local supermarket I get it for like $3.30.  If only they made the price affordable (normal), I would buy like 100 of these. But it is really good, especially if you don't like to cook and are a young single person.
77	5	This is one of my favorite K Cups out now.Very good cappuccino,and the price is right.I highly recommend this to anybody!!!
78	5	As the 5 stars used as my personal judgement call on this product, I found the licorice to be just as good as I expected based on others GOOD reviews. The product arrived quickly, soft, fresh and very tasty.( as long as one enjoys black licorice that is).
79	3	If you've ever cooked chocolate too long you know the smell of burned chocolate.  It isn't a terribly bad odor, it's just not as pleasant as chocolate should be.  I tried this cereal twice and both times that burned chocolate smell started about 30 seconds into the cooking time.<br /><br />The oatmeal overall is not as sweet as I expected and other than the slight taste of burned chocolate, it is very bland, as in plain, unflavored, oatmeal.  Adding sweetener didn't help; it became just sweet but still flavorless.  I guess I expected a chocolate-chip-oatmeal-cookie flavor; unfortunately, this isn't.<br /><br />I am very glad I purchased only one box from my local grocery store rather than buying in bulk here, although it was the prior reviews of this flavor here which convinced me to try it in the first place.<br /><br />One interesting note: In spite of the chocolate chips, this flavor actually has fewer calories than other flavors of Quaker Instant Oatmeal.  It has only 130 calories per serving, while Cinnamon & Spice, Cinnamon Roll, and Maple & Brown Sugar (three of my favorites) all have 160 calories per serving.  Those extra 30 calories make a big difference to my taste buds, apparently.
80	3	It's okay, but I wouldn't buy it again.  My absolute favorite green tea is made by specialteas.com.  It's a decaf apricot green tea.  I always end up going back to that after trying other teas.  I've even gotten used to drinking it plain without any sweeteners.  A cup sounds pretty good right now!
81	1	Awful taste it was soft and airy I fed it to my dogs.
82	5	This is one of the best K cups out there. Nice bold flavor.No bitter after taste. If you want a bold K cup try this!
83	3	I don't get why they are so expensive on Amazon. Either way these are kind of gross. Enjoy!
84	5	I grew up with Open Pit BBQ sauce in IN and could no longer find it in TN. Thanks to the sellers on Amazon, I can continue to enjoy this excellent sauce.  My step sons had never had it before, but it quickly became there favorite. It is the best sauce out there and I would recommend it.
85	5	I was already a big fan of the Popchips Salt and Vinegar flavor, so when I saw that they were coming out with a Chili Lime flavor I was so excited to try it! The flavor does NOT disappoint - tangy, spicy, and a dash of sweet. This is my new favorite  chip ! Now, if you've never tried Popchips before, just be aware that the texture is different than regular potato chips, somewhere between a traditional chip and a rice cake. It can throw off die-hard potato chip fans, but if you just want something crunchy and awesome tasting, without as many calories and fat, then this is going to be your new favorite snack!
86	3	I suppose I should have figured this bar would be crunchy considering this is the Nut Delight variety but I didn't expect this much crunch! Crunch factor similar to Gobstopper hard candy (I think it is the syrup that holds the nuts together that makes it so hard). There was also a type of nut that is included in the mix that I did not care for, (not sure which one). If you like exotic nuts and are looking for a snack that is super crunchy than this is for you. Unfortunately, it did not suit me. On the up side, it is a good source of protein and antioxidents.
87	3	I recently bought one of these at a local pet store and my dog went crazy for it. It lasted a few days with chewing about an hour at a time. So when I saw this product on Amazon for $2 cheaper I jumped on it. The reason I only gave it 3 stars was I ordered 2 of the large bones one was fine and the other arrived broken in half. It is not a cheap bone and they should ship it with more packaging to make sure it does not break during shipping. I am a little apprehensive to give the broken one to my dog as she tends to swallow smaller pieces whole and I do not want her to choke on it.
88	5	The product was previously known to me, and the ease of ordering coupled with the discount of signing for monthly deliveries made for awesome pricing.
89	5	The cocoa on the almonds is just right.  This makes a healthy snack or dessert.  I went through a can in two days...
90	5	Good cereal. Don't know what else you want me to say about it. But definately good stuff.
